time;minAirPressure;averageAirPressure;maxAirPressure;rainIntensity
"2021-01-10 08:00:00+01:00";995.7;995.94;996.1;0
"2021-01-10 09:00:00+01:00";996.1;996.27;996.4;0
"2021-01-10 10:00:00+01:00";996.3;996.39166666667;996.5;0
"2021-01-10 11:00:00+01:00";995.9;996.17166666667;996.3;0
"2021-01-10 12:00:00+01:00";995.7;995.79666666667;995.9;0
"2021-01-10 13:00:00+01:00";995.5;995.64666666667;995.7;0
"2021-01-10 14:00:00+01:00";995.6;995.69;995.7;0
"2021-01-10 15:00:00+01:00";995.7;995.735;995.8;0
"2021-01-10 16:00:00+01:00";995.8;995.8;995.8;0
"2021-01-10 17:00:00+01:00";995.8;995.80166666667;995.9;0
"2021-01-10 18:00:00+01:00";995.8;995.99166666667;996.1;0
"2021-01-10 19:00:00+01:00";996;996.14666666667;996.2;0
"2021-01-10 20:00:00+01:00";995.8;995.895;996;0
"2021-01-10 21:00:00+01:00";995.7;995.81;995.9;0
"2021-01-10 22:00:00+01:00";995.6;995.68833333333;995.8;0
"2021-01-10 23:00:00+01:00";995.6;995.65166666667;995.7;0
"2021-01-11 00:00:00+01:00";995.6;995.665;995.7;0
"2021-01-11 01:00:00+01:00";995.5;995.56666666667;995.7;0
"2021-01-11 02:00:00+01:00";995;995.21;995.5;0
"2021-01-11 03:00:00+01:00";994.8;994.89166666667;995;0
"2021-01-11 04:00:00+01:00";994.7;994.75666666667;994.9;0
"2021-01-11 05:00:00+01:00";994.6;994.74833333333;994.8;0
"2021-01-11 06:00:00+01:00";994.6;994.69833333333;994.8;0
"2021-01-11 07:00:00+01:00";994.7;994.98;995.1;0
"2021-01-11 08:00:00+01:00";995;995.13;995.2;0
"2021-01-11 09:00:00+01:00";995.2;995.30666666667;995.4;0
"2021-01-11 10:00:00+01:00";995.2;995.34333333333;995.4;0
"2021-01-11 11:00:00+01:00";994.6;994.9;995.2;0
"2021-01-11 12:00:00+01:00";994;994.245;994.5;0
"2021-01-11 13:00:00+01:00";993.4;993.63666666667;994;0
"2021-01-11 14:00:00+01:00";993.4;993.41666666667;993.5;0
"2021-01-11 15:00:00+01:00";993.3;993.30333333333;993.4;0
"2021-01-11 16:00:00+01:00";993.1;993.18666666667;993.3;0
"2021-01-11 17:00:00+01:00";992.7;992.84166666667;993.1;0
"2021-01-11 18:00:00+01:00";992.3;992.47333333333;992.7;0
"2021-01-11 19:00:00+01:00";992.3;992.37833333333;992.5;0
"2021-01-11 20:00:00+01:00";991.8;992.02333333333;992.3;0
"2021-01-11 21:00:00+01:00";991.3;991.565;991.9;0
"2021-01-11 22:00:00+01:00";990.6;991.00666666667;991.3;0
"2021-01-11 23:00:00+01:00";990.1;990.29;990.6;0
"2021-01-12 00:00:00+01:00";989.5;989.74833333333;990.1;0
"2021-01-12 01:00:00+01:00";989.2;989.32833333333;989.5;0
"2021-01-12 02:00:00+01:00";988.5;988.86833333333;989.2;0
"2021-01-12 03:00:00+01:00";987.7;988.14333333333;988.5;0
"2021-01-12 04:00:00+01:00";986.8;987.175;987.7;0
"2021-01-12 05:00:00+01:00";985.8;986.34;986.8;0
"2021-01-12 06:00:00+01:00";985.2;985.63833333333;985.9;0
"2021-01-12 07:00:00+01:00";984.7;984.87833333333;985.2;0
"2021-01-12 08:00:00+01:00";984.1;984.39166666667;984.7;0
"2021-01-12 09:00:00+01:00";983.3;983.62166666667;984.1;0
"2021-01-12 10:00:00+01:00";982.6;983.00666666667;983.3;0
"2021-01-12 11:00:00+01:00";981.4;982.00333333333;982.6;0
"2021-01-12 12:00:00+01:00";980.5;980.99333333333;981.4;0
"2021-01-12 13:00:00+01:00";979.6;979.95333333333;980.4;0
"2021-01-12 14:00:00+01:00";978.9;979.3;979.6;0
"2021-01-12 15:00:00+01:00";978.2;978.54666666667;978.9;0
